Symbol,Timestamp,15m RSI
AKROUSDT.P,2024-08-08 22:19:19.363664+00:00,54.79504441070851
GALAUSDT.P,2024-08-08 22:19:19.363664+00:00,53.2091402498099
OMGUSDT.P,2024-08-08 22:19:19.363664+00:00,54.12157066790397
USDCUSDT.P,2024-08-08 22:19:19.363664+00:00,51.95056844874024
ICPUSDT.P,2024-08-08 22:19:19.363664+00:00,53.29346559027535
RPLUSDT.P,2024-08-08 22:19:19.363664+00:00,50.09201874438796
FLRUSDT.P,2024-08-08 22:19:19.363664+00:00,54.28282123872122
SOLUSDT.P,2024-08-08 22:19:19.363664+00:00,52.85274816454893
VETUSDT.P,2024-08-08 22:19:19.363664+00:00,54.805873946448166
PROMUSDT.P,2024-08-08 22:19:19.363664+00:00,53.2271035842703
XLMUSDT.P,2024-08-08 22:19:19.363664+00:00,48.55129242204613
BAKEUSDT.P,2024-08-08 22:22:19.452829+00:00,45.36031602617485
FLRUSDT.P,2024-08-08 22:22:19.452829+00:00,54.28282123872122
PAXGUSDT.P,2024-08-08 22:22:19.452829+00:00,54.86493585719848
RPLUSDT.P,2024-08-08 22:22:19.452829+00:00,53.36022198400932
SCRTUSDT.P,2024-08-08 22:22:19.452829+00:00,54.62862647719128
SFPUSDT.P,2024-08-08 22:22:19.452829+00:00,49.921034300265546
PROMUSDT.P,2024-08-08 22:22:19.452829+00:00,54.42089022272524
XLMUSDT.P,2024-08-08 22:22:19.452829+00:00,51.53640524367902
PROMUSDT.P,2024-08-08 22:25:35.675821+00:00,54.42089022272524
SFPUSDT.P,2024-08-08 22:25:35.675821+00:00,49.921034300265546
PAXGUSDT.P,2024-08-08 22:25:35.675821+00:00,54.86493585719848
FLRUSDT.P,2024-08-08 22:25:35.675821+00:00,54.28282123872122
RPLUSDT.P,2024-08-08 22:25:35.675821+00:00,53.36022198400932
SCRTUSDT.P,2024-08-08 22:25:35.675821+00:00,54.62862647719128
BAKEUSDT.P,2024-08-08 22:25:35.675821+00:00,45.36031602617485
XLMUSDT.P,2024-08-08 22:25:35.675821+00:00,51.53640524367902
BAKEUSDT.P,2024-08-08 22:28:35.728556+00:00,46.11089210162493
GFTUSDT.P,2024-08-08 22:28:35.728556+00:00,53.20898971086428
RPLUSDT.P,2024-08-08 22:28:35.728556+00:00,51.6008883719248
SFPUSDT.P,2024-08-08 22:28:35.728556+00:00,48.5062641801156
PROMUSDT.P,2024-08-08 22:28:35.728556+00:00,54.029790346107134
USDCUSDT.P,2024-08-08 22:28:35.728556+00:00,51.95056844874024
XLMUSDT.P,2024-08-08 22:28:35.728556+00:00,51.65666383752822
TRXUSDT.P,2024-08-08 22:28:35.728556+00:00,54.53982614080928
PROMUSDT.P,2024-08-08 22:31:56.074216+00:00,54.029790346107134
GFTUSDT.P,2024-08-08 22:31:56.074216+00:00,53.20898971086428
BAKEUSDT.P,2024-08-08 22:31:56.074216+00:00,46.11089210162493
SFPUSDT.P,2024-08-08 22:31:56.074216+00:00,48.5062641801156
RPLUSDT.P,2024-08-08 22:31:56.074216+00:00,51.6008883719248
TRXUSDT.P,2024-08-08 22:31:56.074216+00:00,54.53982614080928
USDCUSDT.P,2024-08-08 22:31:56.074216+00:00,51.95056844874024
XLMUSDT.P,2024-08-08 22:31:56.074216+00:00,51.65666383752822
BAKEUSDT.P,2024-08-08 22:34:56.167824+00:00,45.11552474180798
GALAUSDT.P,2024-08-08 22:34:56.167824+00:00,53.94930036899334
OMGUSDT.P,2024-08-08 22:34:56.167824+00:00,54.858667764168125
RPLUSDT.P,2024-08-08 22:34:56.167824+00:00,54.15500949492127
SFPUSDT.P,2024-08-08 22:34:56.167824+00:00,50.34083919071152
TONUSDT.P,2024-08-08 22:34:56.167824+00:00,47.93304892552752
USDCUSDT.P,2024-08-08 22:34:56.167824+00:00,51.95056844874023
XLMUSDT.P,2024-08-08 22:34:56.167824+00:00,51.92279416100515
GALAUSDT.P,2024-08-08 22:38:13.301171+00:00,53.94930036899334
RPLUSDT.P,2024-08-08 22:38:13.301171+00:00,54.15500949492127
SFPUSDT.P,2024-08-08 22:38:13.301171+00:00,50.34083919071152
BAKEUSDT.P,2024-08-08 22:38:13.301171+00:00,45.11552474180798
OMGUSDT.P,2024-08-08 22:38:13.301171+00:00,54.858667764168125
TONUSDT.P,2024-08-08 22:38:13.301171+00:00,47.93304892552752
USDCUSDT.P,2024-08-08 22:38:13.301171+00:00,51.95056844874023
XLMUSDT.P,2024-08-08 22:38:13.301171+00:00,51.92279416100515
BAKEUSDT.P,2024-08-08 22:41:13.386281+00:00,53.03157523303892
OMGUSDT.P,2024-08-08 22:41:13.386281+00:00,54.858667764168125
PROMUSDT.P,2024-08-08 22:41:13.386281+00:00,51.0336285758131
RPLUSDT.P,2024-08-08 22:41:13.386281+00:00,54.505134626828486
SFPUSDT.P,2024-08-08 22:41:13.386281+00:00,52.71894175714511
USDCUSDT.P,2024-08-08 22:41:13.386281+00:00,51.95056844874023
TONUSDT.P,2024-08-08 22:41:13.386281+00:00,50.29739018843
TRXUSDT.P,2024-08-08 22:41:13.386281+00:00,52.04068244594836
XLMUSDT.P,2024-08-08 22:41:13.386281+00:00,50.58775175990874
PROMUSDT.P,2024-08-08 22:44:31.000968+00:00,51.0336285758131
RPLUSDT.P,2024-08-08 22:44:31.000968+00:00,54.505134626828486
BAKEUSDT.P,2024-08-08 22:44:31.000968+00:00,53.03157523303892
SFPUSDT.P,2024-08-08 22:44:31.000968+00:00,52.71894175714511
OMGUSDT.P,2024-08-08 22:44:31.000968+00:00,54.858667764168125
TONUSDT.P,2024-08-08 22:44:31.000968+00:00,50.29739018843
